,Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
0,A,142.48,42279335397,N/A
1,AAL,14.36,9668407495,N/A
2,AAP,184.19,11313748455,N/A
3,AAPL,139.37,2230425072464,N/A
4,ABBV,148.5,265935466814,N/A
5,ABC,167.75,34507258042,N/A
6,ABMD,387.26,17052974058,N/A
7,ABT,103.8,181338238260,N/A
8,ACN,277.71,186242654881,N/A
9,ADBE,305.18,144711357454,N/A
10,ADI,153.25,78476336246,N/A
11,ADM,96.6,52599863232,N/A
12,ADP,248.79,101518208405,N/A
13,ADSK,198.7,42439317563,N/A
14,AEE,82.57,21212463352,N/A
15,AEP,90.06,46796325781,N/A
16,AES,27.74,18318580827,N/A
17,AFL,69.42,43354558086,N/A
18,AIG,61.96,44826513987,N/A
19,AIV,7.42,1131026075,N/A
20,AIZ,123.61,6534699858,N/A
21,AJG,196.26,40548768661,N/A
22,AKAM,83.85,13887259762,N/A
23,ALB,299.4,35053314472,N/A
24,ALGN,190.4,14627406907,N/A
25,ALK,45.62,5835632699,N/A
26,ALL,129.7,34999062903,N/A
27,ALLE,107.81,9410446504,N/A
28,ALXN,183.9,41837192424,N/A
29,AMAT,96.21,83259755385,N/A
30,AMCR,11.22,17291765363,N/A
31,AMD,65.96,104277445712,N/A
32,AME,141.2,32855680391,N/A
33,AMGN,282.12,149350599594,N/A
34,AMP,330.62,33946245581,N/A
35,AMT,204.68,97920969640,N/A
36,AMZN,94.01,950904791142,N/A
37,ANET,135.7,40111641338,N/A
38,ANSS,226.65,20001970495,N/A
39,ANTM,492.15,118173519159,N/A
40,AON,293.4,60758340659,N/A
41,AOS,59.65,7293314371,N/A
42,APA,49.84,16690999531,N/A
43,APD,290.54,61663387655,N/A
44,APH,79.54,47275468245,N/A
45,APTV,103.98,28207810145,N/A
46,ARE,151.47,24631934952,N/A
47,ATO,104.67,14672558982,N/A
48,ATVI,74,55767866905,N/A
49,AVB,170.04,23691920698,N/A
50,AVGO,476.35,199769477696,N/A
51,AVY,183.34,14635451134,N/A
52,AWK,143.44,25997612870,N/A
53,AXP,146.98,110993156018,N/A
54,AZO,2557.4,49660772644,N/A
55,BA,169.9,101645285501,N/A
56,BAC,37.44,302790754007,N/A
57,BAX,54.09,27018892267,N/A
58,BBY,71.31,15628195280,N/A
59,BDX,230.8,64869732346,N/A
60,BEN,23.72,11838986685,N/A
61,BF.B,69.38,32573634671,N/A
62,BIIB,287.94,42820220848,N/A
63,BIO,390.03,11729487551,N/A
64,BK,43.54,35472130229,N/A
65,BKNG,1877.85,74563958372,N/A
66,BKR,31.82,31145552678,N/A
67,BLK,701.1,106585279057,N/A
68,BLL,70.14,22552253916,N/A
69,BMY,81.14,172469739383,N/A
70,BR,140.4,16384885371,N/A
71,BRK.B,301.58,644197772233,N/A
72,BSX,42.61,62347289912,N/A
73,BWA,39.25,9254679815,N/A
74,BXP,74.24,11771574853,N/A
75,C,47.11,91865135002,N/A
76,CAG,36.6,17788500059,N/A
77,CAH,84.67,21281462863,N/A
78,CARR,41.79,34665826839,N/A
79,CAT,236.91,123437431557,N/A
80,CB,217.52,88780741167,N/A
81,CBOE,127.77,14044387428,N/A
82,CBRE,72.66,23240897125,N/A
83,CCI,133.8,57622120082,N/A
84,CCL,8.92,10186928386,N/A
85,CDNS,146,41309714783,N/A
86,CDW,175.29,23496958477,N/A
87,CE,95.9,10422991591,N/A
88,CERN,95.57,28372265364,N/A
89,CF,107.93,20648789845,N/A
90,CFG,40.75,20067936837,N/A
91,CHD,73.29,18103836028,N/A
92,CHRW,94.47,11749037616,N/A
93,CHTR,368.22,56805716326,N/A
94,CI,328.27,101477520255,N/A
95,CINF,107.31,16300912099,N/A
96,CL,73.7,63566639046,N/A
97,CLX,149.73,18006597178,N/A
98,CMA,73.1,9515206047,N/A
99,CMCSA,32.22,140617099162,N/A
100,CME,173.96,63824495295,N/A
101,CMG,1450.82,39680171964,N/A
102,CMI,239.59,33845680681,N/A
103,CMS,56.97,17006746757,N/A
104,CNC,82.95,48273514838,N/A
105,CNP,28.02,18021040408,N/A
106,COF,106.86,41722410352,N/A
107,COG,22.91,9091553841,N/A
108,COO,274.75,13645072734,N/A
109,COP,139.52,172290985600,N/A
110,COST,501.56,225147262343,N/A
111,COTY,7.17,6051088805,N/A
112,CPB,51.54,15828494138,N/A
113,CPRT,59.5,14194233186,N/A
114,CRM,150.65,151061928447,N/A
115,CSCO,45.97,184402357460,N/A
116,CSX,30.42,65465208380,N/A
117,CTAS,419.93,43431439529,N/A
118,CTL,11,12563336511,N/A
119,CTSH,56.36,28110254673,N/A
120,CTVA,68.64,50006721314,N/A
121,CTXS,108.2,13610717706,N/A
122,CVS,101.45,136628911613,N/A
123,CVX,185.99,365203454577,N/A
124,CXO,67.3,13051037408,N/A
125,D,65.91,53044560115,N/A
126,DAL,34.34,22081636816,N/A
127,DD,62.46,31689460471,N/A
128,DE,409.87,126168507999,N/A
129,DFS,102.18,28346958742,N/A
130,DG,258.95,58828752404,N/A
